text,sql
display all employee info,SELECT * FROM EMPLOYEE
fetch all customer data,SELECT * FROM CUSTOMER
find all customer data,SELECT * FROM CUSTOMER
obtain all employee info,SELECT * FROM EMPLOYEE
retrieve all customer data,SELECT * FROM CUSTOMER
get all customer data,SELECT * FROM CUSTOMER
download all customer data,SELECT * FROM CUSTOMER
select all customer data,SELECT * FROM CUSTOMER
obtain all employee info,SELECT * FROM EMPLOYEE
show all employee info,SELECT * FROM EMPLOYEE
display all employee info,SELECT * FROM EMPLOYEE
